Country,Clicks,Impressions,CTR,Position
United Arab Emirates,11,1735,0.63%,55.62
India,2,31,6.45%,45.06
United Kingdom,1,94,1.06%,55.46
United States,0,613,0%,20.76
Australia,0,53,0%,51.64
Canada,0,50,0%,53.82
Netherlands,0,19,0%,64.42
Ireland,0,16,0%,40.69
Pakistan,0,13,0%,50.77
New Zealand,0,11,0%,48.64
South Africa,0,11,0%,52.09
Saudi Arabia,0,10,0%,26.4
Philippines,0,10,0%,51
Qatar,0,6,0%,13.83
Spain,0,4,0%,11
Italy,0,4,0%,40
Brazil,0,4,0%,48.75
Singapore,0,3,0%,7.67
Russia,0,3,0%,22.67
Indonesia,0,3,0%,24
Germany,0,3,0%,50.67
Ghana,0,3,0%,75
Morocco,0,2,0%,8
Poland,0,2,0%,8
Nigeria,0,2,0%,8.5
Denmark,0,2,0%,11
Bahrain,0,2,0%,26.5
Uganda,0,2,0%,33
Egypt,0,2,0%,34.5
Turkey,0,2,0%,38.5
Vietnam,0,2,0%,39.5
Togo,0,2,0%,41.5
Ecuador,0,2,0%,50
Argentina,0,2,0%,56.5
Malaysia,0,2,0%,91
Finland,0,1,0%,4
Hungary,0,1,0%,4
Iraq,0,1,0%,5
Iran,0,1,0%,6
Lebanon,0,1,0%,6
Uruguay,0,1,0%,7
Georgia,0,1,0%,8
Japan,0,1,0%,8
South Korea,0,1,0%,8
Bangladesh,0,1,0%,9
Azerbaijan,0,1,0%,10
Czechia,0,1,0%,11
Slovenia,0,1,0%,11
Switzerland,0,1,0%,12
Côte d’Ivoire,0,1,0%,12
France,0,1,0%,12
Angola,0,1,0%,59
Ukraine,0,1,0%,68
Thailand,0,1,0%,176
